N,T,Total_T
93900,63,8051059
94000,256,8060820
94100,57,8069744
94200,86,8079325
94300,67,8089233
94400,110,8098222
94500,64,8106934
94600,85,8116326
94700,76,8124293
94800,80,8133908
94900,61,8141967
95000,79,8149905
95100,119,8158684
95200,102,8167588
95300,87,8176907
95400,76,8185228
95500,62,8193283
95600,71,8201969
95700,63,8210995
95800,66,8220132
95900,56,8229804
96000,125,8239424
96100,66,8248054
96200,58,8256732
96300,101,8266200
96400,63,8275138
96500,74,8284244
96600,55,8293945
96700,94,8303245
96800,85,8312869
96900,59,8321787
97000,84,8330809
97100,55,8341698
97200,83,8352195
97300,74,8361663
97400,84,8370638
97500,74,8380891
97600,111,8389926
97700,57,8399535
97800,78,8408819
97900,58,8416764
98000,85,8425466
98100,56,8433997
98200,77,8442932
98300,104,8453276
98400,83,8463330
98500,71,8472055
98600,129,8481137
98700,140,8489506
98800,91,8497639
98900,54,8505929
99000,139,8514842
99100,85,8525418
99200,102,8533573
99300,115,8542224
99400,78,8550937
99500,59,8559157
99600,68,8567330
99700,122,8575045
99800,94,8583464
99900,69,8592591
100000,86,8601276
100100,75,8609502
100200,77,8617975
100300,59,8627865
100400,122,8636768
100500,72,8644689
100600,100,8653497
100700,73,8661275
100800,104,8669461
100900,127,8677994
101000,73,8685303
101100,152,8693120
101200,82,8701176
101300,60,8709760
101400,168,8720329
101500,143,8728099
101600,105,8735833
101700,66,8744256
101800,72,8753539
101900,83,8762433
102000,90,8770535
102100,67,8779983
102200,70,8788816
102300,66,8798014
102400,167,8808691
102500,67,8817771
102600,130,8826367
102700,151,8836314
102800,87,8845168
102900,143,8855694
103000,94,8864578
103100,73,8872555
103200,88,8881426
103300,67,8890466
103400,56,8898617
103500,81,8907208
103600,89,8915460
103700,68,8924888
103800,81,8933848
103900,219,8943214
104000,93,8953442
104100,68,8962725
104200,80,8971687
104300,81,8979916
104400,133,8988650
104500,126,8998940
104600,63,9008008
104700,90,9016490
104800,89,9024469
104900,60,9034994
105000,89,9047763
105100,62,9055807
105200,90,9067329
105300,102,9081426
105400,93,9091776
105500,74,9101004
105600,105,9109569
105700,52,9118014
105800,55,9125643
105900,72,9133997
106000,79,9143115
106100,82,9152078
106200,84,9160450
106300,63,9169065
106400,101,9178946
106500,70,9188805
106600,62,9198168
106700,50,9207608
106800,120,9216143
106900,88,9224943
107000,88,9233611
107100,75,9242978
107200,94,9250715
107300,68,9259123
107400,96,9266699
107500,81,9276535
107600,72,9285146
107700,77,9292825
107800,84,9301411
107900,74,9308928
108000,108,9316973
108100,66,9325684
108200,54,9333451
108300,119,9342527
108400,101,9351807
108500,57,9360327
108600,86,9369960
108700,93,9378740
108800,130,9387690
108900,51,9396978
109000,63,9405222
109100,76,9414132
109200,63,9422184
109300,56,9429297
109400,62,9439193
109500,95,9448273
109600,91,9457723
109700,91,9466207
109800,78,9474861
109900,54,9484163
110000,102,9492566
110100,72,9502170
110200,94,9510272
110300,140,9518766
110400,101,9527737
110500,55,9536631
110600,88,9546278
110700,82,9556119
110800,83,9564004
110900,61,9572817
111000,77,9581829
111100,107,9591033
111200,89,9600217
111300,73,9607840
111400,61,9616140
111500,54,9624464
111600,104,9632696
111700,74,9642117
111800,76,9650894
111900,68,9659325
112000,93,9667576
112100,64,9675925
112200,79,9685077
112300,67,9695212
112400,66,9704210
112500,96,9712838
112600,94,9721528
112700,70,9731311
112800,88,9740561
112900,65,9750994
113000,80,9759247
113100,55,9767554
113200,75,9776734
113300,54,9786872
113400,86,9795938
113500,123,9804328
113600,104,9813784
113700,136,9823666
113800,79,9832122
113900,80,9840937
114000,141,9849440
114100,65,9858039
114200,74,9868452
114300,111,9877838
114400,107,9886627
114500,64,9896463
114600,142,9908351
114700,112,9917562
114800,98,9929241
114900,59,9940397
115000,152,9949268
115100,67,9957807
115200,126,9966084
115300,48,9974999
115400,58,9983233
115500,75,9992290
115600,72,10000942
115700,87,10009567
115800,76,10018068
115900,54,10025940
116000,94,10034229
116100,81,10042909
116200,120,10051145
116300,60,10060405
116400,98,10068890
116500,74,10078458
116600,89,10086062
116700,97,10095004
116800,97,10104364
116900,57,10114035
117000,80,10122166
117100,53,10130322
117200,88,10141276
117300,58,10150273
117400,68,10158695
117500,91,10166474
117600,94,10175756
117700,54,10184623
117800,79,10193762
117900,166,10201644
118000,87,10211020
118100,62,10219285
118200,86,10228793
118300,59,10238341
118400,100,10248038
118500,56,10256265
118600,71,10264813
118700,68,10273199
118800,90,10282055
118900,216,10290782
119000,53,10299705
119100,52,10310595
119200,93,10319888
119300,84,10328777
119400,78,10338129
119500,66,10348089
119600,66,10356866
119700,55,10364693
119800,105,10373900
119900,77,10382866
120000,74,10390788
120100,53,10399072
120200,78,10409891
120300,83,10418483
120400,55,10427220
120500,67,10435303
120600,158,10445513
120700,84,10454677
120800,113,10463320
120900,51,10473059
121000,79,10482592
121100,76,10491161
121200,84,10499992
121300,56,10508526
121400,54,10518382
121500,54,10527699
121600,115,10537264
121700,63,10546085
121800,68,10556698
121900,56,10565799
122000,74,10574208
122100,126,10584191
122200,78,10592387
122300,68,10601073
122400,77,10609901
122500,70,10618055
122600,185,10626675
122700,68,10635657
122800,81,10645027
122900,83,10655402
123000,83,10665560
123100,59,10674449
123200,106,10682788
123300,124,10692486
123400,203,10701979
123500,69,10711408
123600,74,10720672
123700,53,10733839
123800,56,10743633
123900,97,10752877
124000,105,10761524
124100,53,10769767
124200,78,10777667
124300,63,10787031
124400,102,10795909
124500,69,10804594
124600,200,10812962
124700,176,10822292
124800,106,10831434
124900,72,10840803
125000,70,10849812
125100,60,10859568
125200,91,10869306
125300,58,10877378
125400,75,10885630
125500,74,10894551
125600,83,10904813
125700,56,10913403
125800,70,10923523
125900,74,10935045
126000,170,10944599
126100,63,10953257
126200,120,10960767
126300,79,10969622
126400,107,10977832
126500,68,10987090
126600,83,10995300
126700,81,11004344
126800,70,11014395
126900,113,11025078
127000,114,11035502
127100,146,11045204
127200,133,11054570
127300,136,11063869
127400,167,11072368
127500,79,11080910
127600,87,11089669
127700,64,11099046
127800,75,11107986
127900,74,11116496
128000,124,11125445
128100,137,11134599
128200,71,11142729
128300,75,11151756
128400,73,11160639
128500,152,11169258
128600,78,11178377
128700,221,11187516
128800,76,11196503
128900,63,11204870
129000,79,11214876
